SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.083265826,56,0,1817.0,8311.0,12,0,2,0,
1,0.9999998999999999,41,0,2871.0,8311.0,4,0,2,0,0.0
1,0.204372855,48,0,0.665255234,4250.0,7,0,2,0,1.0
1,0.248501348,66,0,0.8298279159999999,4183.0,17,0,3,0,0.0
1,0.480532467,25,0,2.600997506,400.0,8,0,0,0,0.0
1,0.44474221,50,0,0.145329458,37500.0,7,0,1,1,3.0
1,0.250206588,51,0,0.42769230799999997,9749.0,17,0,2,0,2.0
1,0.303891337,42,0,0.470754874,6000.0,6,0,1,0,0.0
1,227.0,78,0,0.003088538,2913.0,4,0,0,0,0.0
0,0.569681709,47,0,6.163152052999999,900.0,11,0,2,0,2.0
1,0.19385894399999998,67,2,0.596839219,6200.0,7,0,2,0,0.0
1,0.201654733,58,0,1353.0,8311.0,7,0,2,0,2.0
1,0.749732162,33,0,2224.0,8311.0,10,0,2,0,0.0
1,0.037259236,25,0,530.0,1159.0,3,0,0,0,0.0
0,0.057911027000000004,33,0,93.0,1159.0,4,0,0,0,0.0
1,0.58832798,65,0,0.342393687,2280.0,4,0,0,0,1.0
1,0.9999998999999999,61,0,0.0,5356.0,3,0,0,0,
1,0.335862705,47,0,0.6526996629999999,3555.0,7,0,3,0,3.0
1,0.011991452,81,0,29.0,1159.0,5,0,0,0,0.0
1,0.040783687,27,1,0.016759777,3400.0,2,1,0,0,0.0
1,0.765220496,48,0,524.0,1159.0,2,0,0,0,
1,0.22294830399999999,44,1,0.274825734,8750.0,6,0,1,0,3.0
1,0.9999998999999999,23,0,0.0,1564.0,1,0,0,0,0.0
1,0.02948292,51,0,0.199571472,9800.0,5,0,1,0,0.0
1,0.431789884,47,0,0.305991383,12300.0,10,0,3,0,2.0
1,0.0062861769999999996,40,0,0.0016617429999999998,5415.0,3,0,0,0,0.0
1,0.75582928,31,0,0.226122221,7150.0,6,0,0,0,0.0
1,0.011888332,68,0,1479.0,2554.0,12,0,1,0,0.0
1,0.039356206,47,0,0.256293308,11400.0,6,0,1,0,1.0
1,0.0,61,0,0.09513379699999999,10500.0,11,0,2,0,0.0
1,0.9999998999999999,33,0,0.39465133700000005,4000.0,4,0,1,0,1.0
1,0.133988646,55,0,0.674473068,5977.0,21,0,5,0,0.0
1,0.019811546,56,0,0.067488752,6000.0,19,0,1,0,0.0
1,0.019018063,41,0,0.21544715399999997,1475.0,7,0,0,0,0.0
1,0.9999998999999999,70,0,0.0,5356.0,2,0,0,0,
0,1.7584830340000002,39,0,231.0,1159.0,12,3,0,1,0.0
1,0.13376220800000002,69,0,0.25778497300000003,10500.0,5,0,1,0,0.0
0,0.707533235,56,0,0.280726606,12000.0,6,0,1,0,3.0
1,0.000580907,60,1,5.492957746,425.0,10,0,2,0,0.0
1,0.13094056699999998,41,1,998.0,2554.0,9,0,1,0,0.0
1,0.0019999,58,0,0.416791604,2000.0,4,0,2,0,0.0
1,0.0,61,0,916.0,8311.0,6,0,2,0,0.0
1,0.46171281299999994,53,0,0.263522174,3900.0,6,0,1,0,0.0
1,0.017609685,61,0,0.269442609,4538.0,7,0,1,0,1.0
1,0.237608805,87,0,99.0,1159.0,4,0,0,0,
1,0.108214206,35,0,0.617283951,1700.0,4,0,1,0,1.0
1,0.0,42,0,0.082180635,4915.0,9,0,0,0,0.0
1,0.11493527,35,1,0.101624323,2400.0,3,0,0,0,0.0
1,0.51528716,42,0,0.7527386540000001,5750.0,24,0,3,0,2.0
0,0.184675129,53,0,1.068873584,4500.0,14,0,2,0,2.0
1,0.22048690899999998,46,0,0.919328041,5416.0,10,0,4,0,0.0
0,2.079734219,28,0,0.364392679,3004.0,1,3,1,0,0.0
1,0.208327546,43,1,0.476452119,8917.0,14,0,2,0,0.0
0,0.9999998999999999,32,0,0.181852696,2633.0,1,4,0,0,1.0
1,0.005945625,29,0,0.03508453,5500.0,5,0,0,0,0.0
1,0.009381804,44,0,0.013369901000000002,2916.0,14,0,0,0,0.0
0,0.868128833,49,1,0.399930103,8583.0,7,0,2,1,2.0
1,0.239515323,85,0,122.0,1159.0,4,0,0,0,0.0
1,0.01019796,71,0,0.251499769,2166.0,6,0,1,0,0.0
1,0.150445043,69,0,0.154871594,5100.0,8,0,1,0,0.0
1,1.011693924,44,1,0.507409178,4183.0,6,1,2,0,2.0
1,0.012052182,35,1,1.225295784,6000.0,11,0,3,0,1.0
